,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,Alley,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,FireplaceQu,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,PoolQC,Fence,MiscFeature,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
10,11,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.0,11200,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,1Fam,One story,Average,Average,1965,1965,Hip,Standard (Composite) Shingle,Hard Board,Hard Board,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Average Rec Room,906,Unfinshed,0,134,1040,Gas forced warm air furnace,Excellent,Yes,SBrkr,1040,0,0,1040,1,0,1,0,3,1,Typical/Average,5,Typ,0,No Fireplace,Detchd,1965.0,Unf,1,384,TA,TA,Paved,0,0,0,0,0,0,No Pool,No Fence,None,0,2,2008,Warranty Deed - Conventional,Normal,129500
11,12,2-STORY 1946 & NEWER,Residential Low Density,85.0,11924,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,1Fam,Two story,Excellent,Excellent,2005,2006,Hip,Standard (Composite) Shingle,Wood Shingles,Wd Shng,Stone,286.0,Excellent,Average/Typical,Poured Contrete,Excellent,Typical,No,Good Living Quarters,998,Unfinshed,0,177,1175,Gas forced warm air furnace,Excellent,Yes,SBrkr,1182,1142,0,2324,1,0,3,0,4,1,Excellent,11,Typ,2,Gd,BuiltIn,2005.0,Fin,3,736,TA,TA,Paved,147,21,0,0,0,0,No Pool,No Fence,None,0,7,2006,Home just constructed and sold,Partial,345000
12,13,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.04995836802665,12968,Paved,No alley access,Moderately Irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,1Fam,One story,Average,Average,1962,1962,Hip,Standard (Composite) Shingle,Hard Board,Plywood,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Average Living Quarters,737,Unfinshed,0,175,912,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,912,0,0,912,1,0,1,0,2,1,Typical/Average,4,Typ,0,No Fireplace,Detchd,1962.0,Unf,1,352,TA,TA,Paved,140,0,0,0,176,0,No Pool,No Fence,None,0,9,2008,Warranty Deed - Conventional,Normal,144000
13,14,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,91.0,10652,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,1Fam,One story,Good,Good,2006,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,306.0,Good,Average/Typical,Poured Contrete,Good,Typical,Av,Unfinshed,0,Unfinshed,0,1494,1494,Gas forced warm air furnace,Excellent,Yes,SBrkr,1494,0,0,1494,0,0,2,0,3,1,Good,7,Typ,1,Gd,Attchd,2006.0,RFn,3,840,TA,TA,Paved,160,33,0,0,0,0,No Pool,No Fence,None,0,8,2007,Home just constructed and sold,Partial,279500
14,15,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.04995836802665,10920,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,NAmes,Normal,Normal,1Fam,One story,Above Average,Above Average,1960,1960,Hip,Standard (Composite) Shingle,Metal Siding,Metal Siding,Brick Face,212.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Below Average Living Quarters,733,Unfinshed,0,520,1253,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1253,0,0,1253,1,0,1,1,2,1,Typical/Average,5,Typ,1,Fa,Attchd,1960.0,RFn,1,352,TA,TA,Paved,0,213,176,0,0,0,No Pool,Good Wood,None,0,5,2008,Warranty Deed - Conventional,Normal,157000
15,16,1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,51.0,6120,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Brookside,Normal,Normal,1Fam,One and one-half story: 2nd level unfinished,Good,Good,1929,2001,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical,Typical,No,Unfinshed,0,Unfinshed,0,832,832,Gas forced warm air furnace,Excellent,Yes,FuseA,854,0,0,854,0,0,1,0,2,1,Typical/Average,5,Typ,0,No Fireplace,Detchd,1991.0,Unf,2,576,TA,TA,Paved,48,112,0,0,0,0,No Pool,Good Privacy,None,0,7,2007,Warranty Deed - Conventional,Normal,132000
16,17,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.04995836802665,11241,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,NAmes,Normal,Normal,1Fam,One story,Above Average,Above Average,1970,1970,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,Brick Face,180.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Average Living Quarters,578,Unfinshed,0,426,1004,Gas forced warm air furnace,Excellent,Yes,SBrkr,1004,0,0,1004,1,0,1,0,2,1,Typical/Average,5,Typ,1,TA,Attchd,1970.0,Fin,2,480,TA,TA,Paved,0,0,0,0,0,0,No Pool,No Fence,Shed,700,3,2010,Warranty Deed - Conventional,Normal,149000
17,18,DUPLEX - ALL STYLES AND AGES,Residential Low Density,72.0,10791,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,Duplex,One story,Below Average,Below Average,1967,1967,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Average/Typical,Average/Typical,Slab,No Basement,No Basement,No Basement,No Basement,0,No Basement,0,0,0,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1296,0,0,1296,0,0,2,0,2,2,Typical/Average,6,Typ,0,No Fireplace,CarPort,1967.0,Unf,2,516,TA,TA,Paved,0,0,0,0,0,0,No Pool,No Fence,Shed,500,10,2006,Warranty Deed - Conventional,Normal,90000
18,19,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,66.0,13695,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer West,Adjacent to East-West Railroad,Normal,1Fam,One story,Average,Average,2004,2004,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Average/Typical,Average/Typical,Poured Contrete,Typical,Typical,No,Good Living Quarters,646,Unfinshed,0,468,1114,Gas forced warm air furnace,Excellent,Yes,SBrkr,1114,0,0,1114,1,0,1,1,3,1,Good,6,Typ,0,No Fireplace,Detchd,2004.0,Unf,2,576,TA,TA,Paved,0,102,0,0,0,0,No Pool,No Fence,None,0,6,2008,Warranty Deed - Conventional,Normal,159000
19,20,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.0,7560,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,1Fam,One story,Average,Average,1958,1965,Hip,Standard (Composite) Shingle,Brick Face,Plywood,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Low Quality,504,Unfinshed,0,525,1029,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1339,0,0,1339,0,0,1,0,3,1,Typical/Average,6,Min1,0,No Fireplace,Attchd,1958.0,Unf,1,294,TA,TA,Paved,0,0,0,0,0,0,No Pool,Minimum Privacy,None,0,5,2009,Court Officer Deed/Estate,Abnorml,139000
20,21,2-STORY 1946 & NEWER,Residential Low Density,101.0,14215,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Northridge Heights,Normal,Normal,1Fam,Two story,Very Good,Very Good,2005,2006,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,380.0,Good,Average/Typical,Poured Contrete,Excellent,Typical,Av,Unfinshed,0,Unfinshed,0,1158,1158,Gas forced warm air furnace,Excellent,Yes,SBrkr,1158,1218,0,2376,0,0,3,1,4,1,Good,9,Typ,1,Gd,BuiltIn,2005.0,RFn,3,853,TA,TA,Paved,240,154,0,0,0,0,No Pool,No Fence,None,0,11,2006,Home just constructed and sold,Partial,325300
21,22,1-1/2 STORY - UNFINISHED ALL AGES,Residential Medium Density,57.0,7449,Paved,Gravel,Regular,Banked - Quick and significant rise from street grade to building,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Normal,Normal,1Fam,One and one-half story: 2nd level unfinished,Good,Good,1930,1950,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Average/Typical,Poured Contrete,Typical,Typical,No,Unfinshed,0,Unfinshed,0,637,637,Gas forced warm air furnace,Excellent,Yes,FuseF,1108,0,0,1108,0,0,1,0,3,1,Good,6,Typ,1,Gd,Attchd,1930.0,Unf,1,280,TA,TA,Dirt/Gravel,0,0,205,0,0,0,No Pool,Good Privacy,None,0,6,2007,Warranty Deed - Conventional,Normal,139400
22,23,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,75.0,9742,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,College Creek,Normal,Normal,1Fam,One story,Very Good,Very Good,2002,2002,Hip,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Brick Face,281.0,Good,Average/Typical,Poured Contrete,Good,Typical,No,Unfinshed,0,Unfinshed,0,1777,1777,Gas forced warm air furnace,Excellent,Yes,SBrkr,1795,0,0,1795,0,0,2,0,3,1,Good,7,Typ,1,Gd,Attchd,2002.0,RFn,2,534,TA,TA,Paved,171,159,0,0,0,0,No Pool,No Fence,None,0,9,2008,Warranty Deed - Conventional,Normal,230000
23,24,1-STORY PUD (Planned Unit Development) - 1946 & NEWER,Residential Medium Density,44.0,4224,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Meadow Village,Normal,Normal,TwnhsE,One story,Average,Average,1976,1976,Gable,Standard (Composite) Shingle,Cement Board,CmentBd,None,0.0,Average/Typical,Average/Typical,Poured Contrete,Good,Typical,No,Good Living Quarters,840,Unfinshed,0,200,1040,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Typical/Average,6,Typ,1,TA,Attchd,1976.0,Unf,2,572,TA,TA,Paved,100,110,0,0,0,0,No Pool,No Fence,None,0,6,2007,Warranty Deed - Conventional,Normal,129900
24,25,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.04995836802665,8246,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Sawyer,Normal,Normal,1Fam,One story,Average,Average,1968,2001,Gable,Standard (Composite) Shingle,Plywood,Plywood,None,0.0,Average/Typical,Good,Cinder Block,Typical,Typical,Mn,Average Rec Room,188,Average Living Quarters,668,204,1060,Gas forced warm air furnace,Excellent,Yes,SBrkr,1060,0,0,1060,1,0,1,0,3,1,Good,6,Typ,1,TA,Attchd,1968.0,Unf,1,270,TA,TA,Paved,406,90,0,0,0,0,No Pool,Minimum Privacy,None,0,5,2010,Warranty Deed - Conventional,Normal,154000
25,26,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,110.0,14230,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,Northridge Heights,Normal,Normal,1Fam,One story,Very Good,Very Good,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,640.0,Good,Average/Typical,Poured Contrete,Good,Typical,No,Unfinshed,0,Unfinshed,0,1566,1566,Gas forced warm air furnace,Excellent,Yes,SBrkr,1600,0,0,1600,0,0,2,0,3,1,Good,7,Typ,1,Gd,Attchd,2007.0,RFn,3,890,TA,TA,Paved,0,56,0,0,0,0,No Pool,No Fence,None,0,7,2009,Warranty Deed - Conventional,Normal,256300
26,27,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,60.0,7200,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,NAmes,Normal,Normal,1Fam,One story,Average,Average,1951,2000,Gable,Standard (Composite) Shingle,Wood Siding,Wood Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,Mn,Below Average Living Quarters,234,Average Rec Room,486,180,900,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,900,0,0,900,0,1,1,0,3,1,Good,5,Typ,0,No Fireplace,Detchd,2005.0,Unf,2,576,TA,TA,Paved,222,32,0,0,0,0,No Pool,No Fence,None,0,5,2010,Warranty Deed - Conventional,Normal,134800
27,28,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,98.0,11478,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Northridge Heights,Normal,Normal,1Fam,One story,Very Good,Very Good,2007,2008,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,Stone,200.0,Good,Average/Typical,Poured Contrete,Excellent,Typical,No,Good Living Quarters,1218,Unfinshed,0,486,1704,Gas forced warm air furnace,Excellent,Yes,SBrkr,1704,0,0,1704,1,0,2,0,3,1,Good,7,Typ,1,Gd,Attchd,2008.0,RFn,3,772,TA,TA,Paved,0,50,0,0,0,0,No Pool,No Fence,None,0,5,2010,Warranty Deed - Conventional,Normal,306000
28,29,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,47.0,16321,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,NAmes,Normal,Normal,1Fam,One story,Average,Average,1957,1997,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,Gd,Below Average Living Quarters,1277,Unfinshed,0,207,1484,Gas forced warm air furnace,Average/Typical,Yes,SBrkr,1600,0,0,1600,1,0,1,0,2,1,Typical/Average,6,Typ,2,Gd,Attchd,1957.0,RFn,1,319,TA,TA,Paved,288,258,0,0,0,0,No Pool,No Fence,None,0,12,2006,Warranty Deed - Conventional,Normal,207500
29,30,1-STORY 1945 & OLDER,Residential Medium Density,60.0,6324,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Brookside,Adjacent to feeder street,Within 200' of North-South Railroad,1Fam,One story,Below Average,Below Average,1927,1950,Gable,Standard (Composite) Shingle,Metal Siding,Metal Siding,None,0.0,Average/Typical,Average/Typical,Brick & Tile,Typical,Typical,No,Unfinshed,0,Unfinshed,0,520,520,Gas forced warm air furnace,Fair,No,SBrkr,520,0,0,520,0,0,1,0,1,1,Fair,4,Typ,0,No Fireplace,Detchd,1920.0,Unf,1,240,Fa,TA,Paved,49,0,87,0,0,0,No Pool,No Fence,None,0,5,2008,Warranty Deed - Conventional,Normal,68500
30,31,2-STORY 1945 & OLDER,C (all),50.0,8500,Paved,Paved,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,Iowa DOT and Rail Road,Adjacent to feeder street,Normal,1Fam,Two story,Below Average,Below Average,1920,1950,Gambrel,Standard (Composite) Shingle,Brick Face,Brick Face,None,0.0,Average/Typical,Fair,Brick & Tile,Typical,Typical,No,Unfinshed,0,Unfinshed,0,649,649,Gas forced warm air furnace,Average/Typical,No,SBrkr,649,668,0,1317,0,0,1,0,3,1,Typical/Average,6,Typ,0,No Fireplace,Detchd,1920.0,Unf,1,250,TA,Fa,Dirt/Gravel,0,54,172,0,0,0,No Pool,Minimum Privacy,None,0,7,2008,Warranty Deed - Conventional,Normal,40000
31,32,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.04995836802665,8544,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Cul-de-sac,Gentle slope,Sawyer,Normal,Normal,1Fam,One story,Average,Average,1966,2006,Gable,Standard (Composite) Shingle,Hard Board,Hard Board,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Unfinshed,0,Unfinshed,0,1228,1228,Gas forced warm air furnace,Good,Yes,SBrkr,1228,0,0,1228,0,0,1,1,3,1,Good,6,Typ,0,No Fireplace,Attchd,1966.0,Unf,1,271,TA,TA,Paved,0,65,0,0,0,0,No Pool,Minimum Privacy,None,0,6,2008,Warranty Deed - Conventional,Normal,149350
32,33,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,85.0,11049,Paved,No alley access,Regular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Corner lot,Gentle slope,College Creek,Normal,Normal,1Fam,One story,Very Good,Very Good,2007,2007,Gable,Standard (Composite) Shingle,Vinyl Siding,Vinyl Siding,None,0.0,Good,Average/Typical,Poured Contrete,Excellent,Typical,Av,Unfinshed,0,Unfinshed,0,1234,1234,Gas forced warm air furnace,Excellent,Yes,SBrkr,1234,0,0,1234,0,0,2,0,3,1,Good,7,Typ,0,No Fireplace,Attchd,2007.0,RFn,2,484,TA,TA,Paved,0,30,0,0,0,0,No Pool,No Fence,None,0,1,2008,Warranty Deed - Conventional,Normal,179900
33,34,1-STORY 1946 & NEWER ALL STYLES,Residential Low Density,70.0,10552,Paved,No alley access,Slightly irregular,Near Flat/Level,"All public Utilities (E,G,W,& S)",Inside lot,Gentle slope,NAmes,Normal,Normal,1Fam,One story,Average,Average,1959,1959,Hip,Standard (Composite) Shingle,Brick Face,Brick Face,None,0.0,Average/Typical,Average/Typical,Cinder Block,Typical,Typical,No,Average Rec Room,1018,Unfinshed,0,380,1398,Gas forced warm air furnace,Good,Yes,SBrkr,1700,0,0,1700,0,1,1,1,4,1,Good,6,Typ,1,Gd,Attchd,1959.0,RFn,2,447,TA,TA,Paved,0,38,0,0,0,0,No Pool,No Fence,None,0,4,2010,Warranty Deed - Conventional,Normal,165500
